"ID"	"R_G"	"gene_copies"	"R_G_cutoff"	"detection_status"
"NC_000936.1_S3"	0.986880680933546	1133.783	0.659519292152601	"detected"
"NC_010429.1_S4"	0.96424036106119	5.27	0.659519292152601	"detected"
"NC_025708.1_S1"	0.989726702378909	5079.595	0.659519292152601	"detected"
"NC_027637.1_S2"	0.811692097612911	0.539	0.659519292152601	"detected"
"NC_039057.1_S1"	0.990486389474403	41.438	0.659519292152601	"detected"
"S1080_ML_001_A"	0.968082030200978	4.04196462175386	0.716201878474442	"detected"
"S1081_ML_002_A"	0.961860120427	5.40747394897592	0.717489538849737	"detected"
"S1082_ML_003_A"	0.995569562460347	68.4507082152975	0.723911485856384	"detected"
"S1083_ML_004_A"	0.956386247963452	13.8049132947977	0.720562908341099	"detected"
"S1084_ML_005_A"	0.993343290288134	698.636440677966	0.71285101878503	"detected"
"S1085_ML_006_A"	0.983627623130687	86.9911193948032	0.730501965650604	"detected"
"S1086_ML_007_A"	0.926844435512106	1.53614190687361	0.711542325851614	"detected"
"S1087_MG_001_A"	0.862959474185458	0.605034182722188	0.701428299917947	"detected"
"S1088_MG_002_A"	0.989466096553828	4593.23331755797	0.687706121110288	"detected"
"S1089_MG_003_A"	0.992756642719262	904.127787982157	0.706588522123446	"detected"
"S1090_MG_004_A"	0.994340544422555	1054.70451010886	0.694284661704441	"detected"
"S1091_MG_005_A"	0.916927664993617	2.20510057471264	0.696851400518646	"detected"
"S1092_MG_006_A"	0.998306042042314	7680.79364326376	0.709580714454523	"detected"
"S1093_MG_007_A"	0.991741639747421	1342.03097023954	0.708996738006871	"detected"
"S1094_MG_008_A"	0.991463222023968	3142.67505663227	0.70782975757118	"detected"
"S1095_MG_009_A"	0.996177355150539	4797.3326069191	0.705463002072202	"detected"
"S1096_MG_010_A"	0.99682808376409	6647.6124922312	0.701428299917947	"detected"
"S1097_MG_011_A"	0.935551642109544	1.16812373907196	0.698955668881101	"detected"
"S1098_MG_012_A"	0.983000648953232	316.00300802139	0.699146438160676	"detected"
"S1099_MG_013_A"	0.990288762527924	1176.12356902357	0.698913083522707	"detected"
"S1100_MG_014_A"	0.998542657327013	7828.21535255297	0.697924832641494	"detected"
"S1101_MG_015_A"	0.992808517190485	82.0182584269663	0.697579392432955	"detected"
"S1102_MG_016_A"	0.996561775906799	6232.97699443414	0.695804142940156	"detected"
"S1103_MG_017_A"	0.923882306574815	0.799169497923745	0.695246057458571	"detected"
"S1104_MG_018_A"	0.988249564088707	20.6496889580093	0.694284661704441	"detected"
"S1105_MG_019_A"	0.992352591012888	4113.76875	0.694131644172561	"detected"
"S1106_MG_020_A"	0.989865980964887	115.431760741365	0.6916404251963	"detected"
"S1107_MG_021_A"	0.991201525991171	3487.42341549296	0.690169659574792	"detected"
"S1108_MG_022_A"	0.985975986379029	1027.50199379708	0.689946493379902	"detected"
"S1109_MG_023_A"	0.990533192929095	3100.1167816092	0.688693213804422	"detected"
"S1110_MG_024_A"	0.992698209949965	43.4533333333333	0.688693213804422	"detected"
"S1111_MG_025_A"	0.9989710750274	7741.48364429368	0.708953972203785	"detected"
"S1112_MG_026_A"	0.985614391466523	10.8268759195684	0.686479900207048	"detected"
"S1113_MG_027_A"	0.982808498707246	56.6378802747792	0.686462953212523	"detected"
"S1114_MG_028_A"	0.978625106177498	93.6689119170984	0.684569392228962	"detected"
"S1115_MG_029_A"	0.992776077214697	351.211073825503	0.699019415486418	"detected"
"S1116_MG_030_A"	0.992519845068127	2367.84832214765	0.699019415486418	"detected"
"S1117_MG_031_A"	0.828340847197679	0.283221476510067	0.699019415486418	"detected"
"S1118_MG_032_A"	0.971171014899002	7.79630872483221	0.699019415486418	"detected"
"S1119_MG_033_A"	0.957023074402942	4.54697986577181	0.699019415486418	"detected"
"S1120_MG_034_A"	0.992389973023978	21.4818791946309	0.699019415486418	"detected"
"S1121_MG_035_A"	0.986389715550956	1395.2033557047	0.699019415486418	"detected"
"S1122_MG_036_A"	0.996289225026626	7594.39026845638	0.699019415486418	"detected"
"S1123_MG_037_A"	0.965920651063569	1.9	0.699019415486418	"detected"
"S1124_MG_038_A"	0.989263895808114	64.6607382550336	0.699019415486418	"detected"
"S1125_MG_039_A"	0.997085683405331	7589.78657718121	0.699019415486418	"detected"
"S1126_MG_040_A"	0.990520156785171	34.6104026845638	0.699019415486418	"detected"
"S1127_MG_041_A"	0.996621540204639	7213.52919463087	0.699019415486418	"detected"
"S1128_MG_042_A"	0.991678675492154	144.791275167785	0.699019415486418	"detected"
"S1129_MG_043_A"	0.994655233962533	4818.96711409396	0.699019415486418	"detected"
"S1130_MG_044_A"	0.940874297202925	1.14194630872483	0.699019415486418	"detected"
"S1131_MG_045_A"	0.996134142079208	6507.22080536913	0.699019415486418	"detected"
"S1132_MG_046_A"	0.88829112491951	0.628187919463087	0.699019415486418	"detected"
"S1133_MG_047_A"	0.983910748494842	7.69093959731544	0.699019415486418	"detected"
"S1134_MG_048_A"	0.997279664014251	1276.08187919463	0.699019415486418	"detected"
"S1138_MG_049_A"	0.934825915778154	2.29837837837838	0.683079717710413	"detected"
"S1139_MG_050_A"	0.984593321694231	155.546789989119	0.682849354447219	"detected"
"S1140_MG_051_A"	0.988155713810884	1038.06743421053	0.682578218086982	"detected"
"S1141_MG_052_A"	0.991151240491433	5006.18921953958	0.681728952061114	"detected"
"S1142_MG_053_A"	0.845047107860239	0.616519174041298	0.679951046394798	"detected"
"S1143_MG_054_A"	0.913068363221121	3.25996430696014	0.67965096014653	"detected"
