"ID"	"R_G"	"C_o"	"R_FVE"	"B_G"	"gene_copies"
"NC_000936.1_S3"	"0.491447870851627"	"0.0286241920590951"	"1.01438037379476"	"31"	"0.0286241920590951"
"NC_010429.1_S4"	"0.600747795071968"	"0.0605520926090828"	"1.03058157396107"	"68"	"0.0605520926090828"
"NC_025708.1_S1"	"0.645474344834966"	"0.0850884582982308"	"0.891994468475543"	"119"	"0.100252737994945"
"NC_027637.1_S2"	"0.625472536406647"	"0.0730671197960918"	"0.942288124109313"	"95"	"0.08071367884452"
"NC_039057.1_S1"	"0.552688851965096"	"0.0462534690101758"	"0.843016358088897"	"61"	"0.0564292321924144"
"S1081_ML_002_A"	"0.642090053452299"	"0.0442712392829306"	"0.965830313235777"	"301"	"0.046921278254092"
"S1082_ML_003_A"	"0.489856854228658"	"0.057394322548655"	"0.386169022715568"	"1298"	"0.160902442047849"
"S1083_ML_004_A"	"0.66748380070823"	"0.0552164655784244"	"0.906001392267116"	"443"	"0.0628814762242725"
"S1084_ML_005_A"	"0.690283522287283"	"0.0713349560007489"	"0.986238440858015"	"401"	"0.0750795731136491"
"S1085_ML_006_A"	"0.576476871245768"	"0.0433531555726069"	"0.613564328028071"	"764"	"0.0732783426050259"
"S1086_ML_007_A"	"0.678764838013119"	"0.0644654088050314"	"1.03257899616234"	"328"	"0.0644654088050314"
"S1087_MG_001_A"	"0.448374401520909"	"0.0609456135556163"	"0.259151897719767"	"981"	"0.268106039901612"
"S1088_MG_002_A"	"0.615400255475823"	"0.0558044806517312"	"0.780994214230198"	"182"	"0.0741344195519348"
"S1089_MG_003_A"	"0.464324159356581"	"0.0836286321757619"	"0.301900388462593"	"1373"	"0.324356248523506"
"S1090_MG_004_A"	"0.635338289414265"	"0.0550803968525488"	"0.997680374909666"	"166"	"0.0567909681833732"
"S1091_MG_005_A"	"0.71988550755291"	"0.109015345268542"	"0.992377781674372"	"364"	"0.116368286445013"
"S1092_MG_006_A"	"0.67136254649218"	"0.0610965001011531"	"1.0308592958937"	"302"	"0.0610965001011531"
"S1093_MG_007_A"	"0.675727476855053"	"0.0653035677029001"	"0.978646906162156"	"331"	"0.0690590444398081"
"S1094_MG_008_A"	"0.650841991414029"	"0.0561872909698997"	"0.915714061171169"	"284"	"0.0633221850613155"
"S1095_MG_009_A"	"0.492662096504229"	"0.0655386081982841"	"0.388616187551699"	"775"	"0.184699714013346"
"S1096_MG_010_A"	"0.694970946658924"	"0.112178581520203"	"0.737425738831162"	"584"	"0.165018366770274"
"S1097_MG_011_A"	"0.614100682308953"	"0.0428811659192825"	"1.00236604618323"	"156"	"0.0437219730941704"
"S1098_MG_012_A"	"0.638514234796364"	"0.053037037037037"	"1.02675291813773"	"179"	"0.053037037037037"
"S1099_MG_013_A"	"0.600088537531208"	"0.0446428571428571"	"0.780116401776444"	"198"	"0.0589285714285714"
"S1100_MG_014_A"	"0.656357235978029"	"0.062291096931024"	"1.01233642796126"	"209"	"0.0635065329687025"
"S1101_MG_015_A"	"0.712132158018952"	"0.100375234521576"	"0.981524597617175"	"345"	"0.107879924953096"
"S1102_MG_016_A"	"0.642401848097551"	"0.0567771578601904"	"1.02865720163591"	"173"	"0.0567771578601904"
"S1103_MG_017_A"	"0.675833392663235"	"0.0745920745920746"	"1.03775965910405"	"224"	"0.0745920745920746"
"S1104_MG_018_A"	"0.646814558339126"	"0.0624778132765353"	"0.934163386693736"	"195"	"0.0692225772097977"
"S1105_MG_019_A"	"0.623642354271445"	"0.0546712802768166"	"0.80598075629462"	"203"	"0.070242214532872"
"S1106_MG_020_A"	"0.699336977764422"	"0.0958442530887308"	"0.969616581940027"	"278"	"0.104080868588544"
"S1107_MG_021_A"	"0.672989903398153"	"0.0771360759493671"	"1.03906381999634"	"195"	"0.0771360759493671"
"S1108_MG_022_A"	"0.637400508906155"	"0.0591828942344406"	"0.952526838265218"	"168"	"0.0641466208476518"
"S1109_MG_023_A"	"0.591468098817057"	"0.0407114624505929"	"1.020493846008"	"103"	"0.0407114624505929"
"S1110_MG_024_A"	"0.61007953897396"	"0.0487117552334944"	"0.948234067929088"	"131"	"0.0527375201288245"
"S1111_MG_025_A"	"0.659575951877498"	"0.0628667225481978"	"0.906445456563597"	"343"	"0.0718776194467728"
"S1112_MG_026_A"	"0.616300684400223"	"0.050761421319797"	"1.02559542826348"	"120"	"0.050761421319797"
"S1113_MG_027_A"	"0.647435163437238"	"0.0658183413777973"	"1.02011706673207"	"152"	"0.0666959192628346"
"S1114_MG_028_A"	"0.630792433558103"	"0.0610104861773117"	"0.951705374701351"	"139"	"0.0662535748331745"
"S1115_MG_029_A"	"0.621442194137989"	"0.0690567146635322"	"0.663502937865852"	"374"	"0.109903026741111"
