"ID"	"R_G"	"C_o"	"R_FVE"	"B_G"	"gene_copies"
"NC_000936.1_S3"	"0.597250970377307"	"0.0599078341013825"	"1.03025297821146"	"65"	"0.0599078341013825"
"NC_010429.1_S4"	"0.677912158056439"	"0.10295358649789"	"1.03624536405229"	"124"	"0.10464135021097"
"NC_025708.1_S1"	"0.677301727932293"	"0.102254428341385"	"0.999807586665786"	"134"	"0.107890499194847"
"NC_027637.1_S2"	"0.599180735951403"	"0.0610687022900763"	"0.90893704949496"	"82"	"0.0695504664970314"
"NC_039057.1_S1"	"0.663087618761519"	"0.0958188153310105"	"0.965410581044359"	"120"	"0.104529616724739"
"S1081_ML_002_A"	"0.713037221695111"	"0.0816880180859081"	"0.984042565686181"	"575"	"0.0866616428033157"
"S1082_ML_003_A"	"0.708034704694918"	"0.0734616747372151"	"0.971146252651494"	"666"	"0.0786583205385615"
"S1083_ML_004_A"	"0.737709898100844"	"0.0984786742732953"	"1.00153217041481"	"762"	"0.103504482477588"
"S1084_ML_005_A"	"0.695011660823714"	"0.10831234256927"	"0.74436212232322"	"874"	"0.157250809643757"
"S1085_ML_006_A"	"0.724713200444445"	"0.0830405030515998"	"0.905647199128335"	"1040"	"0.096171629369336"
"S1086_ML_007_A"	"0.700581970847209"	"0.0811877466641609"	"0.880083544500756"	"515"	"0.0967863183612103"
"S1087_MG_001_A"	"0.674163767016943"	"0.0691657866948258"	"0.998232026726964"	"272"	"0.071805702217529"
"S1088_MG_002_A"	"0.729052766192044"	"0.131944444444444"	"0.859470602769804"	"432"	"0.166666666666667"
"S1089_MG_003_A"	"0.748253528534552"	"0.127211646136618"	"0.95262481501403"	"640"	"0.143337066069429"
"S1090_MG_004_A"	"0.55694455182077"	"0.077175697865353"	"0.522162198815359"	"487"	"0.159934318555008"
"S1091_MG_005_A"	"0.733333870063747"	"0.127411944869832"	"0.905719118640452"	"495"	"0.151607963246554"
"S1092_MG_006_A"	"0.691361250377515"	"0.0740026980150318"	"0.969529775861609"	"412"	"0.0793987280786279"
"S1093_MG_007_A"	"0.683799195172786"	"0.0725388601036269"	"0.869747738154097"	"437"	"0.0870864886408928"
"S1094_MG_008_A"	"0.74029001369674"	"0.115"	"0.978697604825212"	"575"	"0.125"
"S1095_MG_009_A"	"0.688851466591185"	"0.0851307939421753"	"0.836062133831179"	"468"	"0.107388710417623"
"S1096_MG_010_A"	"0.749828527763834"	"0.177996177996178"	"0.758267914068023"	"980"	"0.267540267540268"
"S1097_MG_011_A"	"0.737756277776751"	"0.12466197944835"	"0.900538914975546"	"551"	"0.148999459167117"
"S1098_MG_012_A"	"0.658100042135756"	"0.0671936758893281"	"0.890151385071805"	"278"	"0.0784867306606437"
"S1099_MG_013_A"	"0.556161968858241"	"0.0746781115879828"	"0.512003967425447"	"551"	"0.157653791130186"
"S1100_MG_014_A"	"0.565810983458308"	"0.0627962085308057"	"0.514994108376379"	"439"	"0.130035545023697"
"S1101_MG_015_A"	"0.749171314700837"	"0.139368671828469"	"0.854360195750393"	"598"	"0.178082191780822"
"S1102_MG_016_A"	"0.69195854402139"	"0.0856598984771574"	"0.974521101481879"	"290"	"0.092005076142132"
"S1103_MG_017_A"	"0.72243107265233"	"0.110371075166508"	"0.96491869696967"	"383"	"0.121471614335553"
"S1104_MG_018_A"	"0.643787181508174"	"0.0649128800819952"	"0.837977291603193"	"236"	"0.0806286299965835"
"S1105_MG_019_A"	"0.658927282623615"	"0.0695538057742782"	"0.809020505484372"	"274"	"0.0898950131233596"
"S1106_MG_020_A"	"0.702495138407963"	"0.0957868203096867"	"1.01245473252518"	"276"	"0.0993878285920058"
"S1107_MG_021_A"	"0.670859093116498"	"0.0785280728376328"	"0.951721779124529"	"227"	"0.0861153262518968"
"S1108_MG_022_A"	"0.72554503137731"	"0.118752215526409"	"0.915342631202141"	"392"	"0.138957816377171"
"S1109_MG_023_A"	"0.627149310575193"	"0.0541176470588235"	"1.00603158070726"	"141"	"0.0552941176470588"
"S1110_MG_024_A"	"0.67724890711517"	"0.0868400918133129"	"0.826981346466549"	"290"	"0.110941086457536"
"S1111_MG_025_A"	"0.645304462825229"	"0.0495603517186251"	"0.978840909902925"	"260"	"0.0519584332533973"
"S1112_MG_026_A"	"0.65452598496709"	"0.0675399099467867"	"1.0341500626954"	"165"	"0.0675399099467867"
"S1113_MG_027_A"	"0.680405918184944"	"0.0835064395513087"	"1.02763705057171"	"204"	"0.0847528043207312"
"S1114_MG_028_A"	"0.605875454104217"	"0.0494652406417112"	"0.920121680166191"	"124"	"0.0552584670231729"
"S1115_MG_029_A"	"0.722313971973588"	"0.108933717579251"	"0.979741968253763"	"409"	"0.117867435158501"
"S1116_MG_030_A"	"0.729809402570036"	"0.119736465196219"	"0.869856029691623"	"517"	"0.14809510169006"
"S1117_MG_031_A"	"0.650709191072615"	"0.0574229691876751"	"1.02898625260973"	"205"	"0.0574229691876751"
"S1118_MG_032_A"	"0.762553058411752"	"0.148345485137409"	"0.986685123220611"	"581"	"0.162927650028043"
"S1119_MG_033_A"	"0.674419707487271"	"0.0715096481271283"	"0.976506479904422"	"268"	"0.076049943246311"
"S1120_MG_034_A"	"0.518227251821583"	"0.0797811059907834"	"0.286539930576441"	"1133"	"0.326324884792627"
"S1121_MG_035_A"	"0.697137222250929"	"0.0932494279176201"	"0.718486522861397"	"486"	"0.139016018306636"
"S1122_MG_036_A"	"0.67244401847811"	"0.0738488271068636"	"0.868090381156362"	"307"	"0.0889081957717926"
"S1123_MG_037_A"	"0.643871460050563"	"0.0541215653621982"	"1.0273048660852"	"195"	"0.0541215653621982"
"S1124_MG_038_A"	"0.685528678887599"	"0.0823464610300193"	"0.839215148139909"	"375"	"0.10327733406775"
"S1125_MG_039_A"	"0.686963064010146"	"0.106478873239437"	"0.726049265030297"	"563"	"0.158591549295775"
"S1126_MG_040_A"	"0.675532297685291"	"0.116762373530216"	"0.706129878653155"	"661"	"0.180749248017501"
"S1127_MG_041_A"	"0.616537716667282"	"0.0814728906929545"	"0.656515443373676"	"457"	"0.132502174543346"
"S1128_MG_042_A"	"0.704973276833726"	"0.0932082978118784"	"0.936307368584631"	"369"	"0.104859335038363"
"S1129_MG_043_A"	"0.699747270671353"	"0.0977677309974569"	"0.908372225780386"	"403"	"0.11387397569935"
"S1130_MG_044_A"	"0.723999502436265"	"0.108708530805687"	"0.989250829397432"	"393"	"0.116409952606635"
"S1131_MG_045_A"	"0.743736533001114"	"0.130135018672795"	"0.978084132737374"	"497"	"0.142775064636599"
"S1132_MG_046_A"	"0.695249808808947"	"0.0867721876766535"	"0.931376377948727"	"346"	"0.0977953646127756"
"S1133_MG_047_A"	"0.664260069027281"	"0.104838709677419"	"0.701519725454664"	"562"	"0.161866359447005"
"S1134_MG_048_A"	"0.696078944722868"	"0.0880091142124751"	"0.910296380860225"	"357"	"0.101680432925093"
"S1138_MG_049_A"	"0.454591101816765"	"0.132126696832579"	"0.185741257082557"	"2746"	"1.24253393665158"
"S1139_MG_050_A"	"0.651849361178434"	"0.0697463768115942"	"0.985916872547199"	"162"	"0.0733695652173913"
"S1140_MG_051_A"	"0.694737483028326"	"0.0987654320987654"	"0.908567210219081"	"261"	"0.115079365079365"
"S1141_MG_052_A"	"0.663094835791057"	"0.0811059907834101"	"0.834037124203322"	"222"	"0.102304147465438"
"S1142_MG_053_A"	"0.659548846637642"	"0.0840213695968917"	"0.836329853003358"	"218"	"0.105876639145216"
"S1143_MG_054_A"	"0.736756103490061"	"0.137619286790558"	"1.02516604034515"	"287"	"0.144148669010547"
"S1144_MG_055_A"	"0.63802246049704"	"0.0670103092783505"	"0.918281987758103"	"147"	"0.0757731958762887"
"S1145_MG_056_A"	"0.556099216024201"	"0.0355437665782493"	"0.988894796251696"	"69"	"0.036604774535809"
"S1146_MG_057_A"	"0.627132761983202"	"0.0597771023302938"	"0.997409515558659"	"122"	"0.0618034447821682"
"S1147_MG_058_A"	"0.701205814365012"	"0.108791208791209"	"0.985033840219369"	"213"	"0.117032967032967"
"S1148_MG_059_A"	"0.661847017491473"	"0.0907115697990223"	"0.775553477273406"	"229"	"0.124388919065725"
"S1149_MG_060_A"	"0.492381485104096"	"0.107905366416619"	"0.292126438510862"	"799"	"0.461050201961916"
"S1150_MG_061_A"	"0.62200156697353"	"0.0615199034981906"	"0.993351840206507"	"106"	"0.0639324487334137"
"S1151_MG_062_A"	"0.678884661935844"	"0.0903986524424481"	"1.04588022651925"	"161"	"0.0903986524424481"
"S1152_MG_063_A"	"0.670627053881307"	"0.0964109781843772"	"0.864631320217331"	"168"	"0.118226600985222"
"S1153_MG_064_A"	"0.646679774067517"	"0.0888157894736842"	"0.882402222308828"	"129"	"0.106085526315789"
"S1154_MG_065_A"	"0.630623678949588"	"0.0807504078303426"	"0.808524981794065"	"129"	"0.105220228384992"
"S1155_MG_066_A"	"0.686568939151327"	"0.113004484304933"	"1.00499368514245"	"133"	"0.119282511210762"
"S1156_MG_067_A"	"0.572095897963274"	"0.0492524186455585"	"1.02482835121219"	"56"	"0.0492524186455585"
"S1157_MG_068_A"	"0.608589213666994"	"0.0683127572016461"	"0.762760608354384"	"114"	"0.0938271604938272"
"S1158_MG_069_A"	"0.647550929108271"	"0.0860484544695071"	"0.894988631424712"	"121"	"0.10108604845447"
"S1159_MG_070_A"	"0.692750908077756"	"0.12711182622687"	"0.85525954697061"	"200"	"0.160901045856798"
"S1160_MG_071_A"	"0.708660162483778"	"0.136505460218409"	"0.837818615912005"	"228"	"0.177847113884555"
"S1161_MG_072_A"	"0.680088860694855"	"0.109477124183007"	"0.920409676192957"	"155"	"0.126633986928105"
"S1162_MG_073_A"	"0.753027581520077"	"0.176105508145849"	"0.995291092662163"	"251"	"0.194724592707525"
"S1163_MG_074_A"	"0.590219038956539"	"0.0910036401456058"	"0.60229906981494"	"315"	"0.16380655226209"
"S1164_MG_075_A"	"0.624699157027535"	"0.0707635009310987"	"0.69119095589318"	"232"	"0.108007448789572"
"S1165_MG_076_A"	"0.68141417711099"	"0.0959357277882798"	"0.781866108502796"	"277"	"0.130907372400756"
"S1166_MG_077_A"	"0.727401077514312"	"0.141414141414141"	"1.0285470159089"	"205"	"0.147907647907648"
"S1167_MG_078_A"	"0.684058161580962"	"0.0950434338272867"	"0.917546514447842"	"214"	"0.109351047521717"
"S1168_MG_079_A"	"0.651010105170909"	"0.0689655172413793"	"0.929953178572123"	"181"	"0.0770540655598127"
