"ID"	"R_G"	"C_o"	"R_FVE"	"B_G"	"gene_copies"
"NC_000936.1_S3"	"0.534767538835784"	"0.0387096774193548"	"1.01947970551845"	"42"	"0.0387096774193548"
"NC_010429.1_S4"	"0.591968335464756"	"0.0556962025316456"	"1.02810659348315"	"66"	"0.0556962025316456"
"NC_025708.1_S1"	"0.33657135083449"	"0.00885668276972625"	"0.50444141478811"	"22"	"0.0177133655394525"
"NC_027637.1_S2"	"0.610441045224712"	"0.0661577608142494"	"0.909899510043753"	"89"	"0.0754877014418999"
"NC_039057.1_S1"	"0.438708553930233"	"0.0191637630662021"	"1.00961248549702"	"22"	"0.0191637630662021"
"S1081_ML_002_A"	"0.663615750289092"	"0.052449133383572"	"0.993128369274716"	"360"	"0.054257724189902"
"S1082_ML_003_A"	"0.662044232649645"	"0.0473603401440888"	"1.00671347967273"	"408"	"0.0481870792488485"
"S1083_ML_004_A"	"0.690916339088269"	"0.0643846780766096"	"1.00785514972963"	"486"	"0.0660146699266504"
"S1084_ML_005_A"	"0.638901479235653"	"0.0789852464915437"	"0.679316190366764"	"687"	"0.123605613530047"
"S1085_ML_006_A"	"0.705647461634332"	"0.0678749768818199"	"0.948429687052604"	"803"	"0.0742555945995931"
"S1086_ML_007_A"	"0.67486868144781"	"0.0637098289795151"	"0.921998813213708"	"381"	"0.0716030821274197"
"S1087_MG_001_A"	"0.650674356136788"	"0.0562302006335797"	"1.02837857272144"	"213"	"0.0562302006335797"
"S1088_MG_002_A"	"0.654140267551947"	"0.0659722222222222"	"1.03334877931312"	"171"	"0.0659722222222222"
"S1089_MG_003_A"	"0.695663749517698"	"0.0815229563269877"	"0.933539034046418"	"408"	"0.0913773796192609"
"S1090_MG_004_A"	"0.560866299255565"	"0.071264367816092"	"0.526337853555593"	"443"	"0.145484400656814"
"S1091_MG_005_A"	"0.676066147672043"	"0.0750382848392037"	"0.9454436000595"	"270"	"0.0826952526799387"
"S1092_MG_006_A"	"0.659742148871449"	"0.0572364617460012"	"0.892306503969137"	"344"	"0.066294083638466"
"S1093_MG_007_A"	"0.657812884544857"	"0.0546034276604225"	"1.00612703117578"	"280"	"0.0557991231566361"
"S1094_MG_008_A"	"0.650901228413093"	"0.0541304347826087"	"0.946150139266816"	"271"	"0.0589130434782609"
"S1095_MG_009_A"	"0.697584515129382"	"0.0810004589261129"	"0.982414322783286"	"375"	"0.086048646167967"
"S1096_MG_010_A"	"0.685059774634555"	"0.101556101556102"	"0.765992881714954"	"521"	"0.142233142233142"
"S1097_MG_011_A"	"0.643250612758085"	"0.0543537047052461"	"0.975549712736218"	"212"	"0.057328285559762"
"S1098_MG_012_A"	"0.611776525550926"	"0.0434782608695652"	"0.906974582903979"	"174"	"0.049124788255223"
"S1099_MG_013_A"	"0.515214382802109"	"0.0721030042918455"	"0.420741991887485"	"657"	"0.187982832618026"
"S1100_MG_014_A"	"0.50234839196369"	"0.0352488151658768"	"0.515740289917607"	"239"	"0.0707938388625592"
"S1101_MG_015_A"	"0.717479762466917"	"0.108397855866587"	"0.926136471545813"	"418"	"0.12447885646218"
"S1102_MG_016_A"	"0.601329678729574"	"0.0402918781725888"	"1.02028122171318"	"127"	"0.0402918781725888"
"S1103_MG_017_A"	"0.674901882824397"	"0.0745321915635902"	"0.974015462278551"	"251"	"0.0796067237551538"
"S1104_MG_018_A"	"0.580650242812409"	"0.0358729074137342"	"0.963995763657037"	"111"	"0.0379227878373762"
"S1105_MG_019_A"	"0.660358853537635"	"0.0685695538057743"	"0.887805256967915"	"245"	"0.0803805774278215"
"S1106_MG_020_A"	"0.608177684183426"	"0.0471732084983795"	"0.832457892556374"	"162"	"0.0583363341735686"
"S1107_MG_021_A"	"0.656401199483324"	"0.0667678300455235"	"1.03375538268469"	"176"	"0.0667678300455235"
"S1108_MG_022_A"	"0.68690761171359"	"0.0850762141084722"	"0.977036045405355"	"257"	"0.0911024459411556"
"S1109_MG_023_A"	"0.575082426320166"	"0.0356862745098039"	"1.01794926085146"	"91"	"0.0356862745098039"
"S1110_MG_024_A"	"0.620711017777248"	"0.0543228768171385"	"0.903985180762881"	"162"	"0.0619739862280031"
"S1111_MG_025_A"	"0.664085908159118"	"0.0585531574740208"	"0.962703760997893"	"314"	"0.0627498001598721"
"S1112_MG_026_A"	"0.508947703928257"	"0.021694637740483"	"1.0108865400048"	"53"	"0.021694637740483"
"S1113_MG_027_A"	"0.616432156618259"	"0.0523473203157457"	"0.913754939657786"	"142"	"0.0589945990859992"
"S1114_MG_028_A"	"0.643146977516431"	"0.0686274509803922"	"0.89993585978899"	"178"	"0.0793226381461676"
"S1115_MG_029_A"	"0.680824238091759"	"0.0743515850144092"	"1.02994769239189"	"260"	"0.0749279538904899"
"S1116_MG_030_A"	"0.706991248536278"	"0.0971068461758808"	"0.955837312220816"	"374"	"0.107132626754512"
"S1117_MG_031_A"	"0.614608498126296"	"0.0434173669467787"	"0.978662984616135"	"162"	"0.0453781512605042"
"S1118_MG_032_A"	"0.712807222229153"	"0.0967470555243971"	"1.01286993335071"	"358"	"0.100392596747056"
"S1119_MG_033_A"	"0.656761151966417"	"0.0624290578887628"	"0.944433355970423"	"241"	"0.0683881952326901"
"S1120_MG_034_A"	"0.495453336302498"	"0.067684331797235"	"0.248878035902409"	"1102"	"0.317396313364055"
"S1121_MG_035_A"	"0.687529384492733"	"0.0815217391304348"	"0.943273575958321"	"316"	"0.0903890160183066"
"S1122_MG_036_A"	"0.64892800094337"	"0.0584998551983782"	"0.96908833135707"	"215"	"0.0622646973646105"
"S1123_MG_037_A"	"0.641340649310103"	"0.0530113794060505"	"1.02673986259755"	"191"	"0.0530113794060505"
"S1124_MG_038_A"	"0.658663411030926"	"0.0649958689066373"	"0.900550694716361"	"272"	"0.0749104929771413"
"S1125_MG_039_A"	"0.607659810285643"	"0.0670422535211268"	"0.609051743571351"	"414"	"0.116619718309859"
"S1126_MG_040_A"	"0.557369173243333"	"0.0527754990429314"	"0.597800092246347"	"338"	"0.0924254853705223"
"S1127_MG_041_A"	"0.571234709249393"	"0.0687155697303566"	"0.559444298806707"	"452"	"0.131052478979414"
"S1128_MG_042_A"	"0.647535414615252"	"0.0588235294117647"	"0.91059015879192"	"235"	"0.0667803353225348"
"S1129_MG_043_A"	"0.635231998094864"	"0.0517095224639729"	"0.974276277088915"	"193"	"0.0545351794292173"
"S1130_MG_044_A"	"0.64787918500776"	"0.057760663507109"	"1.00416546843007"	"200"	"0.0592417061611374"
"S1131_MG_045_A"	"0.619440602471292"	"0.0456765297328354"	"0.975116676138558"	"167"	"0.0479747199080724"
"S1132_MG_046_A"	"0.68934529093139"	"0.0799886941775014"	"1.00641661414108"	"293"	"0.0828151498021481"
"S1133_MG_047_A"	"0.588021224697438"	"0.0578917050691244"	"0.661463120240104"	"318"	"0.0915898617511521"
"S1134_MG_048_A"	"0.627707567747118"	"0.0492737111933922"	"0.940201797278773"	"189"	"0.0538308174309314"
"S1138_MG_049_A"	"0.46880772348324"	"0.145701357466063"	"0.227940016395489"	"2253"	"1.01945701357466"
"S1139_MG_050_A"	"0.668707531578829"	"0.0783514492753623"	"1.02826459238142"	"175"	"0.0792572463768116"
