"ID"	"R_G"	"LOD"
"NC_000936.1_S3"	"0.491447870851627"	"0"
"NC_010429.1_S4"	"0.600747795071968"	"0"
"NC_025708.1_S1"	"0.645474344834966"	"0"
"NC_027637.1_S2"	"0.625472536406647"	"0"
"NC_039057.1_S1"	"0.552688851965096"	"0"
"S1081_ML_002_A"	"0.642090053452299"	"0"
"S1082_ML_003_A"	"0.489856854228658"	"0"
"S1083_ML_004_A"	"0.66748380070823"	"0"
"S1084_ML_005_A"	"0.690283522287283"	"0"
"S1085_ML_006_A"	"0.576476871245768"	"0"
"S1086_ML_007_A"	"0.678764838013119"	"0"
"S1087_MG_001_A"	"0.448374401520909"	"0"
"S1088_MG_002_A"	"0.615400255475823"	"0"
"S1089_MG_003_A"	"0.464324159356581"	"0"
"S1090_MG_004_A"	"0.635338289414265"	"0"
"S1091_MG_005_A"	"0.71988550755291"	"1"
"S1092_MG_006_A"	"0.67136254649218"	"0"
"S1093_MG_007_A"	"0.675727476855053"	"0"
"S1094_MG_008_A"	"0.650841991414029"	"0"
"S1095_MG_009_A"	"0.492662096504229"	"0"
"S1096_MG_010_A"	"0.694970946658924"	"1"
"S1097_MG_011_A"	"0.614100682308953"	"0"
"S1098_MG_012_A"	"0.638514234796364"	"0"
"S1099_MG_013_A"	"0.600088537531208"	"0"
"S1100_MG_014_A"	"0.656357235978029"	"0"
"S1101_MG_015_A"	"0.712132158018952"	"1"
"S1102_MG_016_A"	"0.642401848097551"	"0"
"S1103_MG_017_A"	"0.675833392663235"	"0"
"S1104_MG_018_A"	"0.646814558339126"	"0"
"S1105_MG_019_A"	"0.623642354271445"	"0"
"S1106_MG_020_A"	"0.699336977764422"	"0"
"S1107_MG_021_A"	"0.672989903398153"	"0"
"S1108_MG_022_A"	"0.637400508906155"	"0"
"S1109_MG_023_A"	"0.591468098817057"	"0"
"S1110_MG_024_A"	"0.61007953897396"	"0"
"S1111_MG_025_A"	"0.659575951877498"	"0"
"S1112_MG_026_A"	"0.616300684400223"	"0"
"S1113_MG_027_A"	"0.647435163437238"	"0"
"S1114_MG_028_A"	"0.630792433558103"	"0"
"S1115_MG_029_A"	"0.621442194137989"	"0"
"S1116_MG_030_A"	"0.748511750058532"	"1"
"S1117_MG_031_A"	"0.652485167125958"	"0"
"S1118_MG_032_A"	"0.697960574909188"	"0"
"S1119_MG_033_A"	"0.579652819725594"	"0"
"S1120_MG_034_A"	"0.703916507120019"	"0"
"S1121_MG_035_A"	"0.61780456807306"	"0"
"S1122_MG_036_A"	"0.624623081491664"	"0"
"S1123_MG_037_A"	"0.660431332597403"	"0"
"S1124_MG_038_A"	"0.611022501213786"	"0"
"S1125_MG_039_A"	"0.650141037761568"	"0"
"S1126_MG_040_A"	"0.667809195012321"	"0"
"S1127_MG_041_A"	"0.625717843242313"	"0"
"S1128_MG_042_A"	"0.63047965564063"	"0"
"S1129_MG_043_A"	"0.689920626956856"	"0"
"S1130_MG_044_A"	"0.63913353298376"	"0"
"S1131_MG_045_A"	"0.718625976131715"	"1"
"S1132_MG_046_A"	"0.636659266834072"	"0"
"S1133_MG_047_A"	"0.633279853736047"	"0"
"S1134_MG_048_A"	"0.686107142345701"	"0"
"S1138_MG_049_A"	"0.725731336758972"	"1"
"S1139_MG_050_A"	"0.542845289501298"	"0"
"S1140_MG_051_A"	"0.637113591259704"	"0"
"S1141_MG_052_A"	"0.594126709751527"	"0"
"S1142_MG_053_A"	"0.631440415026768"	"0"
"S1143_MG_054_A"	"0.551794874511149"	"0"
"S1144_MG_055_A"	"0.572350154096888"	"0"
"S1145_MG_056_A"	"0.629774929274814"	"0"
"S1146_MG_057_A"	"0.403906415019509"	"0"
"S1147_MG_058_A"	"0.598902237778825"	"0"
"S1148_MG_059_A"	"0.636759748779124"	"0"
"S1149_MG_060_A"	"0.623515022739594"	"0"
"S1150_MG_061_A"	"0.47641664403396"	"0"
"S1151_MG_062_A"	"0.595657677311926"	"0"
"S1152_MG_063_A"	"0.621526454868881"	"0"
"S1153_MG_064_A"	"0.574899371524727"	"0"
"S1154_MG_065_A"	"0.622787685417096"	"0"
"S1155_MG_066_A"	"0.538632971828401"	"0"
"S1156_MG_067_A"	"0.486819584616264"	"0"
"S1157_MG_068_A"	"0.505844777529695"	"0"
"S1158_MG_069_A"	"0.597261377009058"	"0"
"S1159_MG_070_A"	"0.628846821103668"	"0"
"S1160_MG_071_A"	"0.701967139070049"	"1"
"S1161_MG_072_A"	"0.629585278139072"	"0"
"S1162_MG_073_A"	"0.714122574236721"	"1"
"S1163_MG_074_A"	"0.392617032291493"	"0"
"S1164_MG_075_A"	"0.642122173915731"	"0"
"S1165_MG_076_A"	"0.606465714489182"	"0"
"S1166_MG_077_A"	"0.645457761524462"	"0"
"S1167_MG_078_A"	"0.665096308733821"	"0"
"S1168_MG_079_A"	"0.582521975524081"	"0"
